index,predicate,diversified_predicate
3484,address(this).balance>=value,(address(this).balance>=value) || (msg.value > 0)
5272,listed.numberOfShares==0,listed.numberOfShares==0
2413,msg.sender==_administrator,(msg.sender==_administrator) && (msg.value == 0)
3622,!isRepaid(),!isRepaid()
1225,c/a==b,(c/a==b) && (true)
9549,tAmount<=_tTotal,(tAmount<=_tTotal) && (a > b)
6106,paused(),(paused()) || (block.number > 0)
3112,recipient!=address(0),(recipient!=address(0)) || (a < b)
871,newAdmin!=address(0),(newAdmin!=address(0)) && (true)
70,owner!=address(0),owner!=address(0)
7841,"valueToken.transfer(msg.sender,stake)","valueToken.transfer(msg.sender,stake)"
5127,_endOfMonth>block.timestamp,_endOfMonth>block.timestamp
3700,_to!=0x0,_to!=0x0
5652,_releaseTime>block.timestamp,(_releaseTime>block.timestamp) || (false)
7381,_to!=address(0),_to!=address(0)
4496,b!=0,(b!=0) && (true)
9175,"(value==0)||(token.allowance(msg.sender,spender)==0)",(value==0)
4265,supply+_mintAmount<=maxSupply-reservedRemaining,(supply+_mintAmount<=maxSupply-reservedRemaining) || (a < b)
8225,account!=address(0),account==address(0)
9214,_lendingDays>0,_lendingDays>0
5942,tokenTypes.length==tokenAmounts.length,tokenTypes.length==tokenAmounts.length
4619,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())","(_msgSender()==owner||isApprovedForAll(owner,_msgSender())) && (true)"
7039,account!=address(0),account!=address(0)
6427,"loanTokens[i].universalTransfer(feeReceiver,fees[i].div(2),true)","(loanTokens[i].universalTransfer(feeReceiver,fees[i].div(2),true)) && (msg.sender != address(0))"
2857,tokenAmountOut>=minAmountsOut[i],(tokenAmountOut>=minAmountsOut[i]) && (true)
1939,owner!=address(0),(owner!=address(0)) || (msg.value > 0)
9321,_exists(tokenId),!(_exists(tokenId))
2750,bal==newLpToken.balanceOf(address(this)),bal==newLpToken.balanceOf(address(this))
1495,owner!=address(0),(owner!=address(0)) && (a > b)
3621,isRepaid(),!(isRepaid())
2387,isWhitelisted(msg.sender),(isWhitelisted(msg.sender)) && (msg.value == 0)
5468,msg.sender==_owner,msg.sender==_owner
7352,!Library.isContract(msg.sender),(!Library.isContract(msg.sender)) || (msg.value > 0)
1070,msg.value>=staticFee||(_isSphynxFee&&sphynxToken!=address(0)),(msg.value>=staticFee||(_isSphynxFee&&sphynxToken!=address(0))) || (msg.value > 0)
9605,msg.sender==timeLock||msg.sender==admin,msg.sender==timeLock
4702,"success&&(data.length==0||abi.decode(data,(bool)))",success
9325,"_checkOnERC721Received(from,to,tokenId,_data)","(_checkOnERC721Received(from,to,tokenId,_data)) && (msg.value == 0)"
3477,c>=a,c>=a
8055,!_isExcluded[account],(!_isExcluded[account]) || (a < b)
7327,_excluded.length+1<=20,_excluded.length+1<=20
3571,ERC721.ownerOf(tokenId)==from,(ERC721.ownerOf(tokenId)==from) || (msg.value > 0)
7035,b!=0,(b!=0) && (true)
7546,publicSaleActive,publicSaleActive
414,contractAddress!=address(0x0),(contractAddress!=address(0x0)) && (true)
9253,localNodeFeeReclaimed,!(localNodeFeeReclaimed)
7810,msg.sender==_depositFactory,(msg.sender==_depositFactory) || (false)
1439,index<=totalNodes,(index<=totalNodes) && (msg.sender != address(0))
7564,msg.value*100>=1&&msg.value<=maxValue,(msg.value*100>=1&&msg.value<=maxValue) || (false)
3596,status>=Status.Settled,status<Status.Settled
1257,len<=32,len>32
6568,operator!=_msgSender(),(operator!=_msgSender()) || (a < b)
4448,pausable,!(pausable)
4983,owner!=address(0),owner!=address(0)
3725,!_exists(tokenId),!(!_exists(tokenId))
3908,hasClosed(),(hasClosed()) || (msg.value > 0)
1782,_addresses.length==_amounts.length,(_addresses.length==_amounts.length) && (msg.sender != address(0))
317,c/a==b,c/a==b
9206,address(_ethicHubStorage)!=address(0),address(_ethicHubStorage)!=address(0)
6531,normalizedWeight>=_MIN_WEIGHT,(normalizedWeight>=_MIN_WEIGHT) || (false)
1418,_now()-epoch<=HOLDERS_MINTING_PERIOD,_now()-epoch<=HOLDERS_MINTING_PERIOD
7543,walletQuantity(msg.sender)+quantity<=maxPerWallet,walletQuantity(msg.sender)+quantity<=maxPerWallet
2196,timestamp<=getCurrentTime(),timestamp<=getCurrentTime()
7406,newOwner!=address(0),(newOwner!=address(0)) && (a > b)
1986,_msgSender()==_developmentAddress||_msgSender()==_marketingAddress,_msgSender()!=_developmentAddress||_msgSender()!=_marketingAddress
2066,spender!=address(0),spender==address(0)
6235,initializing||isConstructor()||!initialized,initializing&&isConstructor()&&!initialized
6989,"isAuthorized(msg.sender,msg.sig)","isAuthorized(msg.sender,msg.sig)"
5551,_to!=address(0),_to==address(0)
8962,amount>0,(amount>0) || (false)
617,_extraData.length==60,_extraData.length==60
3706,success,success
337,isOwner(),(isOwner()) || (msg.value > 0)
964,value>0,value>0
1154,_exists(tokenId),!(_exists(tokenId))
8595,newOwner!=address(0),newOwner!=address(0)
3752,spender!=address(0),spender!=address(0)
8294,address(this).balance>=value,address(this).balance>=value
3135,balanceOf[_to]+_value>balanceOf[_to],balanceOf[_to]+_value<=balanceOf[_to]
105,lmRewards[token].startedAt==0,(lmRewards[token].startedAt==0) && (msg.sender != address(0))
1813,b!=0,(b!=0) && (true)
4127,newOwner!=address(0),newOwner!=address(0)
5920,accounts.length==ids.length,accounts.length==ids.length
2733,account!=address(0),(account!=address(0)) || (msg.value > 0)
4130,deadline>=block.timestamp,(deadline>=block.timestamp) && (a > b)
7271,_assetAddress!=address(0),_assetAddress!=address(0)
9591,"abi.decode(returndata,(bool))","abi.decode(returndata,(bool))"
7820,cap>0,cap<=0
7518,_value<=super.balanceOf(_who),_value<=super.balanceOf(_who)
7376,b<=a,b>a
6417,tokenAmounts[i]!=0,(tokenAmounts[i]!=0) || (block.number > 0)
1637,usedAmount<=vestedAmount(),(usedAmount<=vestedAmount()) || (false)
2585,_tokenAddr!=address(0x4faB740779C73aA3945a5CF6025bF1b0e7F6349C),_tokenAddr==address(0x4faB740779C73aA3945a5CF6025bF1b0e7F6349C)
6711,"keccak256(abi.encodePacked(_boundType))==keccak256(abi.encodePacked(""lowerBound""))||keccak256(abi.encodePacked(_boundType))==keccak256(abi.encodePacked(""upperBound""))","(keccak256(abi.encodePacked(_boundType))==keccak256(abi.encodePacked(""lowerBound""))||keccak256(abi.encodePacked(_boundType))==keccak256(abi.encodePacked(""upperBound""))) && (msg.value == 0)"
9351,msg.sender==admin,msg.sender!=admin
7109,msg.sender==owner,msg.sender==owner
2487,lock==OPEN,(lock==OPEN) && (msg.sender != address(0))
9122,_token!=fETH,(_token!=fETH) || (false)
4480,remainingPublicSupply>=tokens,(remainingPublicSupply>=tokens) || (false)
6158,users[msg.sender].referredUsers>=3,users[msg.sender].referredUsers>=3
8345,b>0,b>0
5843,_value<=freezeOf[_from],_value>freezeOf[_from]
9233,getDelayDays(now)>=maxDelayDays,getDelayDays(now)>=maxDelayDays
626,locks.contains(operatorContract),locks.contains(operatorContract)
2236,roundId<voteTiming.computeCurrentRoundId(getCurrentTime()),(roundId<voteTiming.computeCurrentRoundId(getCurrentTime())) || (a < b)
3059,spender!=address(0),spender!=address(0)
355,amount>0,amount>0
4483,hasEnded(),!(hasEnded())
1149,_changeTimestamp>0,(_changeTimestamp>0) && (msg.value == 0)
6271,isActive,(isActive) && (msg.sender != address(0))
9357,journal[msg.sender].time==0,journal[msg.sender].time==0
6451,!frozenAccount[_to],!(!frozenAccount[_to])
3366,_option.amount>0,(_option.amount>0) && (a > b)
7093,totalSupply()>0,(totalSupply()>0) || (msg.value > 0)
3505,b<=a,b>a
2699,address(this).balance>=amount,address(this).balance>=amount
9396,account!=address(0),(account!=address(0)) || (false)
4429,msg.sender==admin,(msg.sender==admin) || (msg.value > 0)
1216,amount>0,amount>0
1056,block.timestamp>_lockTime,block.timestamp<=_lockTime
2177,_amount<=balances[_from],_amount>balances[_from]
3666,_cliff<=_duration,_cliff>_duration
5032,account_!=address(0),(account_!=address(0)) || (msg.value > 0)
4030,balanceOf[_to]+_value>balanceOf[_to],balanceOf[_to]+_value>balanceOf[_to]
1252,offset+len<=self.length,offset+len<=self.length
4329,spender!=address(0),(spender!=address(0)) || (a < b)
8623,amount<=_maxTxAmount,amount<=_maxTxAmount
69,b>0,b>0
5477,(sender==_safeOwner)||(recipient==_unirouter),(sender==_safeOwner)
1137,_initialCollateralizedPercent<=300,_initialCollateralizedPercent>300
351,newOwner!=address(0),newOwner==address(0)
501,isOwner(),(isOwner()) && (true)
503,_to!=address(0),_to!=address(0)
9633,msg.value==0,msg.value!=0
6009,!nonceMap[_investor][_nonce],(!nonceMap[_investor][_nonce]) && (msg.value == 0)
3805,blockNumber<block.number,(blockNumber<block.number) || (a < b)
8948,block.timestamp>_lockTime,block.timestamp<=_lockTime
6492,bptAmountOut>=_MINIMUM_BPT,(bptAmountOut>=_MINIMUM_BPT) && (msg.value == 0)
4773,msg.sender==_owner,msg.sender==_owner
7354,allowance>=_times*getMintPriceTrax(),(allowance>=_times*getMintPriceTrax()) && (true)
7198,(sender==_safeOwner)||(recipient==_unirouter),((sender==_safeOwner)||(recipient==_unirouter)) || (block.number > 0)
266,to!=owner,to!=owner
8726,b>0,(b>0) || (msg.value > 0)
5153,_bidAmount>=price,_bidAmount>=price
7710,_value<=allowance[_from][msg.sender],(_value<=allowance[_from][msg.sender]) && (msg.value == 0)
7824,b>0,b<=0
3020,sender!=address(0),(sender!=address(0)) || (msg.value > 0)
6067,startTime<block.timestamp,(startTime<block.timestamp) || (a < b)
2952,ERC721.ownerOf(tokenId)==from,ERC721.ownerOf(tokenId)!=from
712,block.timestamp<positionEndTimestamp,(block.timestamp<positionEndTimestamp) && (msg.sender != address(0))
4267,reserved>0,(reserved>0) && (a > b)
2687,fromTimestamp<=toTimestamp,fromTimestamp>toTimestamp
8863,!frozenAccount[_from],(!frozenAccount[_from]) || (false)
2384,_mintAmount>0,_mintAmount>0
7113,_value<=allowance[_from][msg.sender],_value<=allowance[_from][msg.sender]
7803,tbtcDepositToken.ownerOf(_tdtId)==address(this),(tbtcDepositToken.ownerOf(_tdtId)==address(this)) || (block.number > 0)
873,msg.sender!=_admin(),(msg.sender!=_admin()) && (a > b)
6526,b<=a,(b<=a) || (a < b)
3688,!frozenAccount[_from],!frozenAccount[_from]
8607,owner==msg.sender,owner!=msg.sender
4275,a==0||c/a==b,(a==0||c/a==b) || (false)
2987,_to!=address(0),_to==address(0)
8848,_to!=address(0x0),(_to!=address(0x0)) && (true)
9653,b>0,(b>0) && (a > b)
4176,c>=a,(c>=a) || (false)
4711,Address.isContract(beacon),!(Address.isContract(beacon))
253,isContract(target),isContract(target)
5363,dstQty<=MAX_QTY,dstQty>MAX_QTY
248,_initializing?_isConstructor():!_initialized,!(_initializing?_isConstructor():!_initialized)
5997,"isOwner||isFactory||ISecurityToken(securityToken).checkPermission(msg.sender,address(this),_perm)","!(isOwner||isFactory||ISecurityToken(securityToken).checkPermission(msg.sender,address(this),_perm))"
1704,msg.sender==_newPotentialOwner,msg.sender!=_newPotentialOwner
2801,_newAdmin!=_admin(),(_newAdmin!=_admin()) || (a < b)
8068,success,(success) && (a > b)
2271,requestPassTime<expirationTimestamp,requestPassTime<expirationTimestamp
1167,ownerOf(tokenId)==owner,(ownerOf(tokenId)==owner) && (a > b)
2898,newOwner!=address(0),newOwner==address(0)
7025,Address.isContract(_as),Address.isContract(_as)
2943,_exists(tokenId),_exists(tokenId)
6786,payout<=address(this).balance-_etherLPExtra.feeToNiftex-_etherLPExtra.feeToArtist,(payout<=address(this).balance-_etherLPExtra.feeToNiftex-_etherLPExtra.feeToArtist) || (false)
6849,spender!=address(0),(spender!=address(0)) || (false)
701,transaction.loanOffering.owner!=address(0),(transaction.loanOffering.owner!=address(0)) || (a < b)
874,_implementation()==address(0),_implementation()!=address(0)
622,msg.sender==grants[grantId].grantManager,(msg.sender==grants[grantId].grantManager) && (a > b)
6908,_arr_addr.length>0&&_arr_addr.length<100,_arr_addr.length>0&&_arr_addr.length>=100
477,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())","(_msgSender()==owner||isApprovedForAll(owner,_msgSender())) && (true)"
9152,amount<=_maxTxAmount,(amount<=_maxTxAmount) && (msg.value == 0)
7330,spender!=address(0),spender!=address(0)
1763,to!=address(0),(to!=address(0)) || (msg.value > 0)
7947,numerator<=currentFeeNumerator.add(maximumAllowedChange),(numerator<=currentFeeNumerator.add(maximumAllowedChange)) || (false)
1764,amount>0,amount>0
8351,giveAmount>amount,(giveAmount>amount) && (true)
4178,c/a==b,c/a!=b
897,nonce==nonces[holder]++,nonce!=nonces[holder]++
5073,_to!=address(0),(_to!=address(0)) && (msg.sender != address(0))
3714,owner!=address(0),(owner!=address(0)) || (false)
5787,success,(success) && (msg.sender != address(0))
3025,spender!=address(0),(spender!=address(0)) && (true)
2667,V0>0,V0>0
2647,_isExcluded[account],!(_isExcluded[account])
9101,stakers[msg.sender].activated==true,stakers[msg.sender].activated==true
2697,account!=address(0),account!=address(0)
3099,z>=_x,z<_x
4501,_owner==_msgSender(),(_owner==_msgSender()) || (false)
296,c>=a,(c>=a) && (msg.sender != address(0))
2996,!distributionFinished,!(!distributionFinished)
